"word","ikama tasuwi meaning"
"tomiwa ","SP `ilo` (tool) with a check mark on its handle"
"tonko ","squinting eyes with a grimacing mouth, signifying wincing in pain"
"tu ","≡ SP `sina`, pointing up towards the reader"
"tuko ","like SP `seli` (heat, fire) with curved lines to distinguish from [moto]"
"tula ","a winding road, with a map pin (cf. [jan]) on the far side"
"tun ","≡ SP `pali` (to do, to make, to work)"
"tuntan ","circle with check mark"
"tusa ","color radical, circle in middle to signify no hue, slider in the middle to signify medium brightness"
"ka ","SP `seme` (what, which, who) variant in sitelen sa"
"kapan ","angry eyebrows, puckered lips to signify disgust"
"kapu ","SP `ilo` with an × on its handle"
"katin ","double diamond, reference to the double black diamond sign marking the hardest ski slopes and mountain bike paths"
"kate ","[hakiki] with a question mark above, representing assuming something is true, then questioning whether it is"
"kaki ","lightning bolt"
"kawa ","SP `jaki` boxed"
"kalawa ","hand + heart, to signify art as a “labor of love” or “expression of one’s feelings”"
"kalan ","a saluting stickman, from the torso up"
"kali ","down arrow, with the ground underline to represent a side view"
"kan ","≡ SP `en` (introduces another subject)"
"kanta ","two beamed eighth notes"
"kanisa ","head with three dots above to signify a pause to ruminate"
"ki ","[lo] with a circle under its front foot, to represent the destination"
"kike ","female sign, ≡ SP `meli` variant"
"kikolo ","mouth radical + goya / bitter melon"
"kikuwa ","≡ SP `nasa`"
"kilima ","[lo] plus up arrow"
"kijeta ","finger touching [ipuwe] (rock) to signify hardness"
"kiju ","a circle, with a smaller circle to represent its specular highlight, and an arc to represent its shadow"
"kin ","≡ SP `suno` (sun, day)"
"kisa ","document + mouth"
"kisowa ","a vertical line, with an arrow diagonally running through it"
"kela ","≡ SP `musi` (fun, entertainment, frivolous, art)"
"kemika ","a triangle flask with some kind of liquid in it"
"kenca ","[ten] with a downward arrow, cf. SP `tenpo ni` (current time, now)"
"ko ","dotted outline of a circle, signifying a metaphysical variant of [sin]"
"kota ","≡ SP `toki`"
"koman ","[wip] doorway based on emergency sign, with a pair of legs entering ≡ SP `kama`"
"konpa ","circle with tremor lines to either side"
"konpute ","a computer chip, with legs leading out of all four sides"
"kontatu ","a kusudama (it’s a Japanese thing)"
